"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"John Hightower","PHI","0.7","9.8","0.0","0.0","0.0","0.0","0.0","1.3"
"John Ursua","SEA","0.8","9.0","0.0","0.0","0.0","0.0","0.0","1.3"
"Chad Williams","KC","0.8","8.8","0.0","0.0","0.0","0.0","0.0","1.3"
"Darvin Kidsy","SEA","0.8","9.0","0.0","0.0","0.0","0.0","0.0","1.3"
"Stanley Morgan Jr.","CIN","0.8","9.0","0.0","0.0","0.0","0.0","0.0","1.3"
"Jake Lampman","NO","0.7","9.4","0.0","0.0","0.0","0.0","0.0","1.3"
"Marcell Ateman","LV","0.7","9.1","0.0","0.0","0.0","0.0","0.0","1.3"
"Laquon Treadwell","JAC","0.8","8.4","0.0","0.0","0.0","0.0","0.0","1.3"
"Robert Foster","MIA","0.7","8.7","0.0","0.0","0.0","0.0","0.0","1.2"
"Marvin Hall","NE","0.7","8.9","0.0","0.0","0.0","0.0","0.0","1.2"
"KhaDarel Hodge","CLE","0.7","8.8","0.0","0.0","0.0","0.0","0.0","1.2"
"K.J. Osborn","MIN","0.7","8.7","0.0","0.0","0.0","0.0","0.0","1.2"
"Dan Chisena","MIN","0.7","8.7","0.0","0.0","0.0","0.0","0.0","1.2"
"Derrick Willies","CLE","0.7","8.6","0.0","0.0","0.0","0.0","0.0","1.2"
"Alexander Hollins","CLE","0.7","8.5","0.0","0.0","0.0","0.0","0.0","1.2"
"Mack Hollins","MIA","0.8","8.0","0.0","0.0","0.0","0.0","0.0","1.2"
"Ja'Marcus Bradley","CLE","0.7","8.4","0.0","0.0","0.0","0.0","0.0","1.2"
"JoJo Natson","CLE","0.7","8.3","0.0","0.0","0.0","0.0","0.0","1.2"
"Dante Pettis","NYG","0.7","8.4","0.0","0.0","0.0","0.0","0.0","1.2"
"Ashton Dulin","IND","0.7","8.3","0.0","0.0","0.0","0.0","0.0","1.2"
"River Cracraft","SF","0.7","8.3","0.0","0.0","0.0","0.0","0.0","1.2"
